n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
200,20,0.3,123,Randomized,15,0.000332,1
200,20,0.3,7,Greedy,11,0.00015,1
200,20,0.3,7,GreedyHashMap,11,5.8e-05,1
200,20,0.3,7,Randomized,17,0.000348,1
200,20,0.3,31,Greedy,9,0.000132,1
200,20,0.3,31,GreedyHashMap,9,5.5e-05,1
200,20,0.3,31,Randomized,18,0.000427,1
200,20,0.3,999,Greedy,9,0.000143,1
200,20,0.3,999,GreedyHashMap,9,5.5e-05,1
200,20,0.3,999,Randomized,19,0.000449,1
200,20,0.3,17,Greedy,11,0.000156,1
200,20,0.3,17,GreedyHashMap,11,5.8e-05,1
200,20,0.3,17,Randomized,17,0.000335,1
200,20,0.3,53,Greedy,11,0.000162,1
200,20,0.3,53,GreedyHashMap,11,5.7e-05,1
200,20,0.3,53,Randomized,12,0.000366,1
200,20,0.3,77,Greedy,10,0.000149,1
200,20,0.3,77,GreedyHashMap,11,5.9e-05,1
200,20,0.3,77,Randomized,14,0.000339,1
200,20,0.3,101,Greedy,9,0.000135,1
200,20,0.3,101,GreedyHashMap,9,5.5e-05,1
200,20,0.3,101,Randomized,16,0.000395,1
200,20,0.3,200,Greedy,9,0.000142,1
200,20,0.3,200,GreedyHashMap,9,5.6e-05,1
200,20,0.3,200,Randomized,17,0.000395,1
200,20,0.5,42,Greedy,5,0.000111,1
200,20,0.5,42,GreedyHashMap,6,6.4e-05,1
200,20,0.5,42,Randomized,15,0.000451,1
200,20,0.5,123,Greedy,6,0.000143,1
200,20,0.5,123,GreedyHashMap,6,6.8e-05,1
200,20,0.5,123,Randomized,14,0.000404,1
200,20,0.5,7,Greedy,5,0.000117,1
200,20,0.5,7,GreedyHashMap,5,6.1e-05,1
200,20,0.5,7,Randomized,12,0.000519,1
200,20,0.5,31,Greedy,6,0.000135,1
200,20,0.5,31,GreedyHashMap,6,6.3e-05,1
200,20,0.5,31,Randomized,17,0.000462,1
200,20,0.5,999,Greedy,6,0.000151,1
200,20,0.5,999,GreedyHashMap,6,6.7e-05,1
200,20,0.5,999,Randomized,15,0.000447,1
200,20,0.5,17,Greedy,6,0.000148,1
200,20,0.5,17,GreedyHashMap,6,6.7e-05,1
200,20,0.5,17,Randomized,15,0.000423,1
200,20,0.5,53,Greedy,5,0.00012,1
200,20,0.5,53,GreedyHashMap,6,6.5e-05,1
200,20,0.5,53,Randomized,14,0.000515,1
200,20,0.5,77,Greedy,6,0.000133,1
200,20,0.5,77,GreedyHashMap,6,6.5e-05,1
200,20,0.5,77,Randomized,13,0.000435,1
200,20,0.5,101,Greedy,6,0.000136,1
200,20,0.5,101,GreedyHashMap,6,6.4e-05,1
200,20,0.5,101,Randomized,12,0.000428,1
200,20,0.5,200,Greedy,5,0.000126,1
200,20,0.5,200,GreedyHashMap,5,6.1e-05,1
200,20,0.5,200,Randomized,12,0.000483,1
200,50,0.1,42,Greedy,25,0.000274,1
200,50,0.1,42,GreedyHashMap,25,6.5e-05,1
200,50,0.1,42,Randomized,34,0.000563,1
200,50,0.1,123,Greedy,25,0.000259,1
200,50,0.1,123,GreedyHashMap,25,6.6e-05,1
200,50,0.1,123,Randomized,40,0.000516,1
200,50,0.1,7,Greedy,28,0.00027,1
200,50,0.1,7,GreedyHashMap,27,6.1e-05,1
200,50,0.1,7,Randomized,36,0.000586,1
200,50,0.1,31,Greedy,22,0.000231,1
200,50,0.1,31,GreedyHashMap,24,6.2e-05,1
200,50,0.1,31,Randomized,31,0.000519,1
200,50,0.1,999,Greedy,22,0.000277,1
